,id,text,dayOfWeek,time,lang,retweet_count,like_count,reply_count,quote_count,cashtags,hashtags,mention_count,images,author_id
69,1487574171865473024,A family divide https://t.co/nBxGHBuPhL,6,23:51:35,en,0,13,3,0,[],[],0,['https://t.co/nBxGHBuPhL'],422330990
70,1487574151531417601,@ginasue @roisinmor Thoughts are with you and the family 💝 https://t.co/8KSyILqv46,6,23:51:30,en,0,1,0,0,[],[],0,['https://t.co/8KSyILqv46'],20272286
71,1487574147534188545,"At First African Methodist Episcopal Church (FAME) in LA with L.A. Care. Free COVID-19 vaccination site, including first, second and booster doses, as well as COVID-19 testing, info, food, and haircuts. @latimes https://t.co/WluCso7aiT",6,23:51:29,en,3,15,0,0,[],[],0,"['https://t.co/WluCso7aiT', 'https://t.co/WluCso7aiT', 'https://t.co/WluCso7aiT', 'https://t.co/WluCso7aiT']",17657364
72,1487574138558586883,Intel Biden Not Ave Nothing Is Import Wen You Har Criminal You Not Have No Respect To Any Thing YOUMEN Life Military Country Constitution Wen Every One You Put On you You BREAN DED This GARBAGE IS FRAUD CRIMINAL For 49 Yers Need To By  Whitt Is Family &amp; Is ADMINISTRATIONS &amp; The M https://t.co/RX5dPaWi6D,6,23:51:27,en,0,0,0,0,[],[],0,['https://t.co/RX5dPaWi6D'],1362545177576013827
73,1487574137094774785,Been a rough few weeks but the best player in the world plays tonight. Gather the family around and call grandmother to let her know ☎️☎️☎️☎️ https://t.co/iWcfsJ0GMX,6,23:51:26,en,0,0,0,0,[],[],0,['https://t.co/iWcfsJ0GMX'],101613624
74,1487574125866815488,@richardyoung239 We would love to have u apart of the crimson tide family Richard!! 🐘🐘🐘🏈🏈🏈💯💯💯 https://t.co/07kRIkwCzP,6,23:51:24,en,0,1,0,0,[],[],0,['https://t.co/07kRIkwCzP'],3732744075
75,1487574092442370048,Rainy Sunday but it’s the last working day before the 7-day holiday. People reunion with their family members during Chinese New Year Festival! Wish you and your family a great new year! Champagne on the way! #TeamBottas #VB77 https://t.co/yduLOZPom0,6,23:51:16,en,0,5,0,0,[],"['TeamBottas', 'VB77']",0,['https://t.co/yduLOZPom0'],213679486
76,1487574070204022786,"I just told someone that I'm dealing with the loss of a family member because I wanted them to understand the seriousness of it, and I knew that if I told them my cat was dying, they might not understand. That said, my cat is dying, and I've never felt grief like this before. 1/ https://t.co/DurquQvAPk",6,23:51:10,en,0,2,1,0,[],[],0,['https://t.co/DurquQvAPk'],23982001
77,1487574041951145985,Reasons why ‘Family Guy’ is a lasting sitcom : Great writing . https://t.co/dMvnCG2aql,6,23:51:04,en,0,0,0,0,[],[],0,['https://t.co/dMvnCG2aql'],182071194
78,1487574041607098372,"The human urge to deactivate Facebook, sigh if only my family understands that I don't want to touch Facebook. I just want to lurk here and in my discord lol https://t.co/xHD8cI2Vk3",6,23:51:03,en,0,1,1,0,[],[],0,['https://t.co/xHD8cI2Vk3'],3309086178
79,1487574019834621954,"Tour #Scotland travel Blog video of #Scottish images and photos and pictorial record Album 6 on ancestry, genealogy, family history visit and trip to sites including Ballinbreich, Balvaird Castle, Elcho, Glencoe, Highlands, Isle Of Skye, Taymouth Castle https://t.co/mnBM9ek6Fz https://t.co/8eIhWfpwOJ",6,23:50:58,en,2,12,0,0,[],"['Scotland', 'Scottish']",0,"['https://t.co/mnBM9ek6Fz', 'https://t.co/8eIhWfpwOJ']",15842676
80,1487574016160198656,🥰Congratulations to 🐳WhaleRank#500 0xf480935955d38a332cf40c65add722d46b922462 for joining #CapsuleHouse family #nftart #NFTdrop #NFTalert. Just bought 3. Average 4.23 ETH($11027.24). Holding now 3. @capsule_house LFG. 🚀🌕 https://t.co/JQE4AzI1mz https://t.co/BrLMebc50N,6,23:50:57,en,0,1,0,0,[],"['CapsuleHouse', 'nftart', 'NFTdrop', 'NFTalert']",0,"['https://t.co/JQE4AzI1mz', 'https://t.co/BrLMebc50N', 'https://t.co/BrLMebc50N', 'https://t.co/BrLMebc50N']",1439168463835058189
81,1487574013132029954,5 Important Things in Life You Need #wine #laughter #family #food #friends https://t.co/3SlUqTuoFt,6,23:50:57,en,5,14,3,0,[],"['wine', 'laughter', 'family', 'food', 'friends']",0,['https://t.co/3SlUqTuoFt'],1119937044
